sentence,start,end,label
i need fried chicken,7,20,ORDER
i want fried chicken,7,20,ORDER
can i get some fried chicken,16,29,ORDER 
can i get a fried chicken,12,25,ORDER
i need two pieces of fried chicken,7 21,10 34,ORDER_COUNT ORDER
i need three pieces of fried chicken,7 23,12 36,ORDER_COUNT ORDER
i need four pieces of fried chicken,7 22,11 35,ORDER_COUNT ORDER
i need five pieces of fried chicken,7 22,11 35,ORDER_COUNT ORDER
i need six pieces of fried chicken,7 21,10 34,ORDER_COUNT ORDER
i need seven pieces of fried chicken,7 23,12 36,ORDER_COUNT ORDER
i need eight pieces of fried chicken,7 23,12 36,ORDER_COUNT ORDER
i need nine pieces of fried chicken,7 22,11 35,ORDER_COUNT ORDER
i want two pieces of fried chicken,7 21,10 34,ORDER_COUNT ORDER
i want three pieces of fried chicken,7 23,12 36,ORDER_COUNT ORDER
i want four pieces of fried chicken,7 22,11 35,ORDER_COUNT ORDER
i want five pieces of fried chicken,7 22,11 35,ORDER_COUNT ORDER
i want six pieces of fried chicken,7 21,10 34,ORDER_COUNT ORDER
i want seven pieces of fried chicken,7 23,12 36,ORDER_COUNT ORDER
i want eight pieces of fried chicken,7 23,12 36,ORDER_COUNT ORDER
i want nine pieces of fried chicken,7 22,11 35,ORDER_COUNT ORDER
can i get two pieces of fried chicken,10 24,13 37,ORDER_COUNT ORDER
can i get three pieces of fried chicken,10 26,15 39,ORDER_COUNT ORDER
can i get four pieces of fried chicken,10 25,14 38,ORDER_COUNT ORDER
can i get five pieces of fried chicken,10 25,14 38,ORDER_COUNT ORDER
can i get six pieces of fried chicken,10 24,13 37,ORDER_COUNT ORDER
can i get seven pieces of fried chicken,10 26,15 39,ORDER_COUNT ORDER
can i get eight pieces of fried chicken,10 26,15 39,ORDER_COUNT ORDER
can i get nine pieces of fried chicken,10 25,14 38,ORDER_COUNT ORDER
we need fried chicken ,8,21,ORDER
we want fried chicken,8,21,ORDER
can we get some fried chicken,16,29,ORDER
can we get a fried chicken,13,26,ORDER
we need two pieces of fried chicken,8 22,11 35,ORDER_COUNT ORDER
we need three pieces of fried chicken,8 24,13 37,ORDER_COUNT ORDER
we need four pieces of fried chicken,8 23,12 36,ORDER_COUNT ORDER
we need five pieces of fried chicken,8 23,12 36,ORDER_COUNT ORDER
we need six pieces of fried chicken,8 22,11 35,ORDER_COUNT ORDER
we need seven pieces of fried chicken,8 24,13 37,ORDER_COUNT ORDER
we need eight pieces of fried chicken,8 24,13 37,ORDER_COUNT ORDER
we need nine pieces of fried chicken,8 23,12 36,ORDER_COUNT ORDER
we want two pieces of fried chicken,8 22,11 35,ORDER_COUNT ORDER
we want three pieces of fried chicken,8 24,13 37,ORDER_COUNT ORDER
we want four pieces of fried chicken,8 23,12 36,ORDER_COUNT ORDER
we want five pieces of fried chicken,8 23,12 36,ORDER_COUNT ORDER
we want six pieces of fried chicken,8 22,11 35,ORDER_COUNT ORDER
we want seven pieces of fried chicken,8 24,13 37,ORDER_COUNT ORDER
we want eight pieces of fried chicken,8 24,13 37,ORDER_COUNT ORDER
we want nine pieces of fried chicken,8 23,12 36,ORDER_COUNT ORDER
can we get two pieces of fried chicken,11 25,14 38,ORDER_COUNT ORDER
can we get three pieces of fried chicken,11 27,16 40,ORDER_COUNT ORDER
can we get four pieces of fried chicken,11 26,15 39,ORDER_COUNT ORDER
can we get five pieces of fried chicken,11 26,15 39,ORDER_COUNT ORDER
can we get six pieces of fried chicken,11 25,14 38,ORDER_COUNT ORDER
can we get seven pieces of fried chicken,11 27,16 40,ORDER_COUNT ORDER
can we get eight pieces of fried chicken,11 27,16 40,ORDER_COUNT ORDER
can we get nine pieces of fried chicken,11 26,15 39,ORDER_COUNT ORDER
i need fried chicken and spaghetti,7 25,20 34,ORDER ORDER
i need fried chicken and hamburger,7 25,20 34,ORDER ORDER
i need fried chicken and sisig,7 25,20 30,ORDER ORDER
i need fried chicken and milk tea,7 25,20 33,ORDER ORDER
i need fried chicken and burrito,7 25,20 32,ORDER ORDER
i need fried chicken and pizza,7 25,20 30,ORDER ORDER
i need fried chicken and pancit,7 25,20 31,ORDER ORDER
i need fried chicken and pulled pork,7 25,20 36,ORDER ORDER
i need fried chicken and nuggets,7 25,20 31,ORDER ORDER
i need fried chicken and takoyaki,7 25,20 32,ORDER ORDER
i need fried chicken and crispy pata,7 25,20 35,ORDER ORDER
i need fried chicken and glazed ham,7 25,20 34,ORDER ORDER
i need fried chicken and sushi,7 25,20 30,ORDER ORDER
i need fried chicken and beef wellington,7 25,20 40,ORDER ORDER
i need two pieces of fried chicken and spaghetti,7 21 39,10 34 48,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and spaghetti,7 23 41,12 36 50,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and spaghetti,7 22 40,11 35 49,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and spaghetti,7 22 40,11 35 49,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and hamburger,7 21 39,10 34 48,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and hamburger,7 23 41,12 36 50,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and hamburger,7 22 40,11 35 49,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and hamburger,7 22 40,11 35 49,ORDER_COUNT ORDER ORDER
i need six pieces of fried chicken and hamburger,7 21 39,10 34 48,ORDER_COUNT ORDER ORDER
i need seven pieces of fried chicken and hamburger,7 23 41,12 36 50,ORDER_COUNT ORDER ORDER
i need eight pieces of fried chicken and hamburger,7 23 41,12 36 50,ORDER_COUNT ORDER ORDER
i need nine pieces of fried chicken and hamburger,7 22 40,11 35 49,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and sisig,7 21 39,10 34 44,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and sisig,7 23 41,12 36 46,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and sisig,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and sisig,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and milk tea,7 21 39,10 34 47,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and milk tea,7 23 41,12 36 49,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and milk tea,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and milk tea,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i need six pieces of fried chicken and milk tea,7 21 39,10 34 47,ORDER_COUNT ORDER ORDER
i need seven pieces of fried chicken and milk tea,7 23 41,12 36 49,ORDER_COUNT ORDER ORDER
i need eight pieces of fried chicken and milk tea,7 23 41,12 36 49,ORDER_COUNT ORDER ORDER
i need nine pieces of fried chicken and milk tea,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and burrito,7 21 39,10 34 46,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and burrito,7 23 41,12 36 48,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and burrito,7 22 40,11 35 47,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and burrito,7 22 40,11 35 47,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and pizza,7 21 39,10 34 44,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and pizza,7 23 41,12 36 46,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and pizza,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and pizza,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and pancit,7 21 39,10 34 45,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and pancit,7 23 41,12 36 47,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and pancit,7 22 40,11 35 46,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and pancit,7 22 40,11 35 46,ORDER_COUNT ORDER ORDER
i need six pieces of fried chicken and pancit,7 21 39,10 34 45,ORDER_COUNT ORDER ORDER
i need seven pieces of fried chicken and pancit,7 23 41,12 36 47,ORDER_COUNT ORDER ORDER
i need eight pieces of fried chicken and pancit,7 23 41,12 36 47,ORDER_COUNT ORDER ORDER
i need nine pieces of fried chicken and pancit,7 22 40,11 35 46,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and pulled pork,7 21 39,10 34 50,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and pulled pork,7 23 41,12 36 52,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and pulled pork,7 22 40,11 35 51,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and pulled pork ,7 22 40,11 35 51,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and nuggets,7 21 39,10 34 46,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and nuggets,7 23 41,12 36 48,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and nuggets,7 22 40,11 35 47,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and nuggets,7 22 40,11 35 47,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and takoyaki,7 21 39,10 34 47,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and takoyaki,7 23 41,12 36 49,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and takoyaki,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and takoyaki,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i need six pieces of fried chicken and takoyaki,7 21 39,10 34 47,ORDER_COUNT ORDER ORDER
